# Archivo de datos para el modelo de Enrutamiento de Vehículos (N=59 Clientes)

param N := 59;
param K := 9;
param T := 5;

param Q :=
1 5000
2 5000
3 5000
4 10000
5 10000
6 10000
7 15000
8 15000
9 15000
;

# Demands
# Note i = 0 is the depot
param w :=
0 0
1 664
2 664
3 664
4 664
5 664
6 664
7 622
8 622
9 622
10 622
11 622
12 622
13 622
14 622
15 285
16 285
17 400
18 400
19 400
20 400
21 3317
22 3317
23 3317
24 3317
25 3317
26 3317
27 918
28 918
29 918
30 3675
31 3675
32 3675
33 3675
34 3675
35 3675
36 3675
37 3675
38 3675
39 3675
40 3675
41 3675
42 3675
43 601
44 601
45 601
46 601
47 601
48 601
49 601
50 601
51 601
52 766
53 766
54 766
55 766
56 766
57 766
58 766
59 766
;

param W :=
0 0
1 2215
2 2215
3 2215
4 2215
5 2215
6 2215
7 2074
8 2074
9 2074
10 2074
11 2074
12 2074
13 2074
14 2074
15 949
16 949
17 1335
18 1335
19 1335
20 1335
21 11057
22 11057
23 11057
24 11057
25 11057
26 11057
27 3059
28 3059
29 3059
30 12251
31 12251
32 12251
33 12251
34 12251
35 12251
36 12251
37 12251
38 12251
39 12251
40 12251
41 12251
42 12251
43 2002
44 2002
45 2002
46 2002
47 2002
48 2002
49 2002
50 2002
51 2002
52 2552
53 2552
54 2552
55 2552
56 2552
57 2552
58 2552
59 2552
;

param serv :=
0 0
1 34
2 34
3 34
4 34
5 34
6 34
7 34
8 34
9 34
10 34
11 34
12 34
13 34
14 34
15 31
16 31
17 32
18 32
19 32
20 32
21 53
22 53
23 53
24 53
25 53
26 53
27 36
28 36
29 36
30 55
31 55
32 55
33 55
34 55
35 55
36 55
37 55
38 55
39 55
40 55
41 55
42 55
43 34
44 34
45 34
46 34
47 34
48 34
49 34
50 34
51 34
52 35
53 35
54 35
55 35
56 35
57 35
58 35
59 35
;

param early :=
0 0
1 480
2 480
3 480
4 480
5 480
6 480
7 480
8 480
9 480
10 480
11 480
12 480
13 480
14 480
15 480
16 480
17 480
18 480
19 480
20 480
21 480
22 480
23 480
24 480
25 480
26 480
27 480
28 480
29 480
30 480
31 480
32 480
33 480
34 480
35 480
36 480
37 480
38 480
39 480
40 480
41 480
42 480
43 480
44 480
45 480
46 480
47 480
48 480
49 480
50 0
51 480
52 480
53 480
54 480
55 480
56 480
57 480
58 480
59 480
;

param late :=
0 1440
1 1200
2 930
3 930
4 930
5 930
6 930
7 960
8 930
9 1200
10 930
11 930
12 930
13 1170
14 930
15 930
16 1200
17 930
18 1170
19 930
20 1200
21 1200
22 960
23 960
24 960
25 960
26 960
27 960
28 960
29 960
30 960
31 930
32 960
33 1260
34 1260
35 1260
36 930
37 1200
38 1260
39 1200
40 960
41 960
42 960
43 960
44 960
45 960
46 960
47 960
48 960
49 960
50 1439
51 960
52 930
53 930
54 930
55 930
56 930
57 930
58 930
59 930
;

param duedate :=
0 5
1 5
2 5
3 5
4 5
5 5
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
22 5
23 5
24 5
25 5
26 5
27 5
28 5
29 5
30 5
31 5
32 5
33 5
34 5
35 5
36 5
37 5
38 5
39 5
40 5
41 5
42 5
43 5
44 5
45 5
46 5
47 5
48 5
49 5
50 5
51 5
52 5
53 5
54 5
55 5
56 5
57 5
58 5
59 5
;

# Matriz de Tiempo / Distancias (c[i,j])
# La matriz es de 60x60 (nodos 0 a 59)
param c :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 :=
0 0.0000 56.3598 63.7980 44.1923 47.8734 60.5674 26.5741 68.1325 109.3052 55.1500 34.9996 46.4318 49.6647 71.8231 86.0577 95.6026 94.2818 74.8432 97.4289 36.2160 63.3431 14.3505 49.5137 27.4404 43.3069 44.5591 57.9111 9.5499 11.1147 13.3626 61.3747 55.6269 52.9632 66.8056 42.8714 59.8711 64.6798 56.3541 48.3055 56.4525 24.3799 37.1582 62.8264 68.1109 27.1563 63.3396 67.2522 20.2623 65.3673 22.5213 46.2379 47.8523 40.9620 25.4063 35.6291 45.7633 19.2380 37.3584 24.3130 33.2115
